############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron temperature in spot mode 
### DATA
# d (mm), Te (eV)
############################
d,TeV
5.275,0.64245
5.2793,0.64229
5.2837,0.64213
5.288,0.64197
5.2924,0.6418
5.2967,0.64164
5.3011,0.64147
5.3054,0.6413
5.3098,0.64113
5.3141,0.64095
5.3185,0.64077
5.3228,0.64059
5.3272,0.64041
5.3315,0.64022
5.3358,0.64003
5.3402,0.63984
5.3445,0.63965
5.3489,0.63945
5.3532,0.63924
5.3576,0.63904
5.3619,0.63882
5.3663,0.63861
5.3706,0.63838
5.375,0.63816
5.3793,0.63792
5.3837,0.63768
5.388,0.63743
5.3924,0.63718
5.3967,0.63691
5.4011,0.63663
5.4054,0.63635
5.4098,0.63605
5.4141,0.63573
5.4185,0.6354
5.4228,0.63506
5.4272,0.63471
5.4315,0.63436
5.4358,0.63404
5.4402,0.63375
5.4445,0.63353
5.4489,0.63338
5.4532,0.63327
5.4576,0.6332
5.4619,0.63316
5.4663,0.63314
5.4706,0.63314
5.475,0.63314
5.4793,0.63315
5.4837,0.63317
5.488,0.63319
5.4924,0.63321
5.4967,0.63324
5.5011,0.63327
5.5054,0.6333
5.5098,0.63333
5.5141,0.63336
5.5185,0.6334
5.5228,0.63343
5.5272,0.63346
5.5315,0.63349
5.5358,0.63352
5.5402,0.63355
5.5445,0.63358
5.5489,0.63361
5.5532,0.63363
5.5576,0.63365
5.5619,0.63368
5.5663,0.6337
5.5706,0.63371
5.575,0.63373
5.5793,0.63374
5.5837,0.63375
5.588,0.63376
5.5924,0.63376
5.5967,0.63376
5.6011,0.63376
5.6054,0.63376
5.6098,0.63375
5.6141,0.63374
5.6185,0.63372
5.6228,0.6337
5.6272,0.63367
5.6315,0.63364
5.6358,0.63361
5.6402,0.63357
5.6445,0.63353
5.6489,0.63348
5.6532,0.63342
5.6576,0.63336
5.6619,0.63329
5.6663,0.63322
5.6706,0.63314
5.675,0.63305
5.6793,0.63295
5.6837,0.63285
5.688,0.63274
5.6924,0.63262
5.6967,0.63249
5.7011,0.63236
5.7054,0.63222
5.7098,0.63207
5.7141,0.63191
5.7185,0.63175
5.7228,0.63158
5.7272,0.63141
5.7315,0.63123
5.7358,0.63104
5.7402,0.63085
5.7445,0.63066
5.7489,0.63046
5.7532,0.63026
5.7576,0.63005
5.7619,0.62984
5.7663,0.62962
5.7706,0.62941
5.775,0.62919
5.7793,0.62897
5.7837,0.62874
5.788,0.62852
5.7924,0.6283
5.7967,0.62808
5.8011,0.62785
5.8054,0.62763
5.8098,0.62741
5.8141,0.62719
5.8185,0.62698
5.8228,0.62677
5.8271,0.62656
5.8315,0.62635
5.8358,0.62615
5.8402,0.62595
5.8445,0.62576
5.8489,0.62558
5.8532,0.6254
5.8576,0.62523
5.8619,0.62506
5.8663,0.62491
5.8706,0.62476
5.875,0.62462
5.8793,0.62448
5.8837,0.62436
5.888,0.62424
5.8924,0.62414
5.8967,0.62404
5.9011,0.62396
5.9054,0.62388
5.9098,0.62381
5.9141,0.62375
5.9185,0.6237
5.9228,0.62365
5.9271,0.62362
5.9315,0.62358
5.9358,0.62356
5.9402,0.62354
5.9445,0.62352
5.9489,0.62352
5.9532,0.62351
5.9576,0.62351
5.9619,0.62352
5.9663,0.62352
5.9706,0.62354
5.975,0.62355
5.9793,0.62357
5.9837,0.62359
5.988,0.62361
5.9924,0.62364
5.9967,0.62367
6.0011,0.6237
6.0054,0.62373
6.0098,0.62376
6.0141,0.62379
6.0185,0.62382
