############################
### DOCUMENT
# [1] M. J. Mandell and I. Katz, “Theory of Hollow Cathode Operation in Spot and Plume Modes,” 30th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf., 1994.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density vs. discharge current for various mass flow rates 
### DATA
# Id (A), ne (1/m3) at mdot = 1 sccm,  ne (1/m3) at mdot = 6 sccm, ne (1/m3) at mdot = 10 sccm,
### NOTES
# Lo = 0.076 cm, ro = 0.0368 cm, rc = 0.6 cm
############################
Id,ne_mdot1,ne_mdot6,ne_mdot10
5.4235,0.62562,2.1153,2.67851
5.4263,0.62576,2.11726,2.67942
5.4578,0.62533,2.1378,2.68867
5.4867,0.62472,2.14786,2.69904
5.497,0.62517,2.15101,2.70527
5.5182,0.62838,2.15746,2.72641
5.521,0.62902,2.15833,2.72878
5.5602,0.63886,2.17343,2.75147
5.5656,0.63975,2.17676,2.75379
5.5684,0.64015,2.17886,2.75496
5.5999,0.64293,2.20623,2.76732
5.6129,0.64417,2.21174,2.77432
5.6235,0.6457,2.21523,2.78331
5.6445,0.65063,2.22127,2.8017
5.6631,0.65547,2.22676,2.81018
5.6867,0.65939,2.23584,2.81954
5.6918,0.65976,2.23821,2.82223
5.7105,0.66009,2.2473,2.83835
5.7234,0.65979,2.25327,2.84961
5.7579,0.65911,2.26783,2.86895
5.7659,0.65939,2.27097,2.87364
5.7707,0.65971,2.27288,2.87698
5.8022,0.66509,2.28676,2.90436
5.8053,0.66588,2.28836,2.90581
5.8291,0.67307,2.30236,2.91427
5.8526,0.68019,2.31573,2.921
5.8654,0.68324,2.32153,2.92489
5.8923,0.68676,2.3326,2.9401
5.897,0.68696,2.33477,2.94542
5.9,0.68704,2.33627,2.9492
5.9285,0.68664,2.35297,2.97964
5.9474,0.68615,2.36364,2.99181
5.9715,0.68675,2.37397,3.00463
5.9758,0.68719,2.37569,3.00702
5.9947,0.69055,2.38417,3.01941
6.0074,0.69377,2.39161,3.02755
6.0347,0.70044,2.40803,3.04251
6.0421,0.7017,2.41155,3.04672
6.0547,0.70337,2.41655,3.05492
6.0862,0.70588,2.42638,3.0823
6.1053,0.70687,2.43208,3.09182
6.1138,0.70728,2.43496,3.09526
6.1336,0.7083,2.443,3.10283
6.1527,0.70952,2.45261,3.11197
6.1652,0.71057,2.45956,3.12336
6.1929,0.71412,2.47576,3.15541
6.1967,0.7148,2.47799,3.15758
6.2,0.71546,2.47999,3.15925
6.2474,0.72636,2.50736,3.1737
6.2562,0.72781,2.51198,3.17661
6.2599,0.72832,2.51384,3.17812
6.2914,0.73119,2.52679,3.20549
6.2947,0.73141,2.52789,3.20811
6.3353,0.73465,2.54015,3.23096
6.3387,0.73507,2.54128,3.23287
6.358,0.73811,2.54842,3.24427
6.3861,0.74478,2.56355,3.26024
6.3985,0.74834,2.57154,3.26571
6.4053,0.75034,2.5758,3.26844
6.4335,0.75786,2.58979,3.28077
6.4527,0.76116,2.59633,3.29503
6.4618,0.76202,2.59894,3.30445
6.465,0.76221,2.59983,3.30815
6.4965,0.76217,2.60897,3.33553
6.5159,0.76168,2.61686,3.34327
6.5409,0.76202,2.63852,3.35382
6.5439,0.76219,2.64137,3.35606
6.5474,0.76244,2.64424,3.36056
6.5596,0.76364,2.65111,3.38344
6.5948,0.76959,2.66477,3.39929
6.62,0.7757,2.67537,3.40945
6.6228,0.77647,2.6766,3.41081
6.6543,0.78506,2.69056,3.43819
6.658,0.78589,2.69214,3.44167
6.6832,0.78939,2.70255,3.45735
6.6858,0.78951,2.70365,3.45872
6.7053,0.78943,2.71267,3.46894
6.7332,0.78851,2.72861,3.48609
6.7527,0.78872,2.74005,3.50394
6.7623,0.78939,2.74521,3.51192
6.7647,0.78962,2.74639,3.51347
6.8001,0.79576,2.76058,3.52907
6.8121,0.79831,2.76434,3.534
6.8414,0.80307,2.77335,3.54918
6.8594,0.80342,2.77961,3.56138
6.8633,0.80326,2.78111,3.56442
6.8909,0.80199,2.79465,3.58875
6.9047,0.80307,2.80383,3.59799
6.9106,0.80427,2.80849,3.60158
6.9225,0.80783,2.81932,3.60929
6.9422,0.81527,2.83586,3.62376
6.9679,0.8236,2.84796,3.64227
6.9698,0.82403,2.84869,3.64351
6.9895,0.82722,2.8564,3.6554
7.0172,0.8292,2.86816,3.67088
7.047,0.83044,2.88132,3.69044
7.0487,0.83053,2.88205,3.69141
7.0527,0.83076,2.88377,3.69366
7.0961,0.83436,2.90234,3.71879
7.1001,0.83476,2.9043,3.72193
7.1261,0.83728,2.91836,3.74523
7.1276,0.83741,2.9192,3.74617
7.1474,0.83913,2.93168,3.75565
7.175,0.84139,2.95022,3.7667
7.179,0.84173,2.95221,3.76854
7.2052,0.84412,2.96361,3.78277
7.2223,0.84591,2.97073,3.79407
7.2422,0.848,2.97958,3.81001
7.2538,0.8491,2.986,3.82145
7.2737,0.85052,3.00012,3.84107
7.2843,0.85096,3.0065,3.84827
7.2853,0.85099,3.00707,3.84883
7.3211,0.85098,3.02749,3.86377
7.3327,0.85079,3.03494,3.86936
7.3635,0.85096,3.05285,3.89608
7.3642,0.85099,3.05319,3.89673
7.3684,0.85122,3.05487,3.9001
7.4116,0.85613,3.06672,3.92411
7.4158,0.85664,3.06855,3.9257
7.4268,0.8578,3.07614,3.9295
7.4473,0.85933,3.09593,3.93713
7.459,0.86007,3.1042,3.94464
7.4746,0.86118,3.11328,3.97886
7.4947,0.86312,3.12331,3.99413
7.5059,0.86464,3.12847,3.9996
7.522,0.86755,3.1355,4.00624
7.5421,0.87177,3.14384,4.01375
7.5694,0.87673,3.15513,4.02677
7.5849,0.87833,3.1618,4.04045
7.6009,0.87879,3.16906,4.05415
7.6052,0.87876,3.17121,4.05675
7.6368,0.87779,3.19175,4.07001
7.6483,0.87757,3.19893,4.07468
7.6641,0.87833,3.20809,4.08225
7.6841,0.88384,3.21912,4.09397
