x,20A,30A,40A,50A,60A,70A,80A,100A,90A
2.50213,,,,,,,,,20.44167
2.50366,,20.24423,,,,,,,
2.50611,,,,,,,,20.34021,
2.50863,,,,20.6254,,,,,
2.52211,20.19487,,,,,,,,
2.53345,,,,,,,20.45446,,
2.53897,,20.22137,,,,,,,
2.53982,,,,,,,,20.32192,
2.5423,,,,,,20.51479,,,
2.54474,,,,,20.57238,,,,
2.54556,,,20.63636,,,,,,
2.56,,,,20.60803,,,,,
2.56068,,,,,,,,20.29815,
2.56144,20.17841,,,,,,,,
2.57268,,20.20035,,,,,,,
2.58487,,,,,20.5614,,,,
2.58551,20.15921,,,,,,,,
2.58636,,,,,,,,20.26524,
2.58891,,,20.63087,,,,,,
2.60399,,20.18297,,,,,,,
2.61057,,,,20.58791,,,,,
2.61204,,,,,,,,20.23965,
2.61371,,,,,,,20.3987,,
2.61535,,,,,,20.48005,,,
2.61601,20.14367,,,,,,,,
2.62822,,,,,20.54495,,,,
2.63208,,20.16652,,,,,,,
2.63467,,,20.61899,,,,,,
2.63611,,,,,,,,20.21953,
2.65454,20.12721,,,,,,,,
2.65473,,,,20.59248,,,,,
2.66661,,,,,,,,20.20125,
2.669,,20.14183,,,,,,,
2.66979,20.11076,,,,,,,,
2.67317,,,,,20.52849,,,,
2.67624,,,,,,,,20.172,
2.6788,,,,20.56596,,,,,
2.67962,,,20.59979,,,,,,
2.6908,,,,,,20.45445,,,
2.69549,,,,,,,,20.15006,
2.7043,20.09064,,,,,,,,
2.71073,,20.11715,,,,,,,
2.71894,,,,20.55316,,,,,
2.71958,,,,,,,,20.15188,
2.71966,,,,,,,20.35298,,
2.71975,,,20.5815,,,,,,
2.72133,,,,,20.51386,,,,
2.73339,,,,20.55042,,,,,
2.74202,20.06961,,,,,,,,
2.74526,,,,,,,,20.1336,
2.74779,,,,,,20.42885,,,
2.75408,,20.09429,,,,,,,
2.76229,,,20.56687,,,,,,
2.7727,,,,,20.48826,,,,
2.77593,,,,20.52848,,,,,
2.78055,20.04767,,,,,,,,
2.7854,,,,,,,,20.11714,
2.7918,,20.07052,,,,,,,
2.79514,,,,,,20.40416,,,
2.79672,,,,,,,20.32006,,
2.80642,,,,20.50562,,,,,
2.80725,,,20.5495,,,,,,
2.81667,20.02756,,,,,,,,
2.82086,,,,,20.46083,,,,
2.82156,,,,,,,,,20.20854
2.82392,,,,,,,,20.08606,
2.83514,,20.03944,,,,,,,
2.84095,,,20.52573,,,,,,
2.84495,,,,20.48825,,,,,
2.84638,,,,,,,,20.03304,
2.84639,,,,,,,,20.0696,
2.85038,20.00287,,,,,,,,
2.85771,,,,,,,20.27801,,
2.85935,,,,,,20.36485,,,
2.8642,,,,,20.4334,,,,
2.86883,,,,,,,,19.98002,
2.87385,,,,20.47819,,,,,
2.88008,,20.00653,,,,,,,
2.88671,,,20.50835,,,,,,
2.88971,,,,,,,,19.99281,
2.89291,19.9727,,,,,,,,
2.89793,,,,20.46082,,,,,
2.90433,,,,,20.4078,,,,
2.91871,,,,,,,20.2323,,
2.92342,,,,,,,,19.96539,
2.92522,,,,20.44436,,,,,
2.93085,,,20.47453,,,,,,
2.94125,,,,,20.38403,,,,
2.94202,,,,,,20.30999,,,
2.9459,,19.96264,,,,,,,
2.94849,,,,20.42425,,,,,
2.9491,,,,,,,,19.93796,
2.96515,,,,,,,,19.92151,
2.96777,,,20.45807,,,,,,
2.97337,,,,20.41145,,,,,
2.9797,,,,,,,20.18476,,
2.98459,,,,,20.35478,,,,
2.98602,,,,,,,,19.92516,
2.98762,19.9014,,,,,,,,
2.99424,,,,20.39865,,,,,
2.99579,,,,,,20.2652,,,
3.00848,,,,,,,,19.87397,
3.00951,,,20.43156,,,,,,
3.0127,,,,20.37854,,,,,
3.01829,,,,,20.32552,,,,
3.03196,,,,20.36209,,,,,
3.03737,,,,,,,,19.85203,
3.0414,,19.88219,,,,,,,
3.04299,19.85569,,,,,,,,
3.04402,,,20.40962,,,,,,
3.05197,,,,,,20.214,,,
3.05663,,,,,,,,19.83009,
3.06005,,,,20.34197,,,,,
3.06324,,,,,20.2981,,,,
3.06477,,,,,,,20.10614,,
3.06626,,,,,,,,19.81181,
3.07267,,,,,,,,19.78438,
3.07516,,,,,,,,,19.98639
3.08473,19.82186,,,,,,,,
3.08473,,19.84197,,,,,,,
3.08493,,,,20.3246,,,,,
3.08711,,,,,,,,19.77159,
3.08736,,,20.38219,,,,,,
3.10658,,,,,20.26153,,,,
3.11221,,,,20.30357,,,,,
3.11683,19.79352,,,,,,,,
3.11785,,,20.35568,,,,,,
3.12736,,,,,,,20.03849,,
3.12807,,19.80266,,,,,,,
3.12886,,,,,,,,19.76061,
3.13228,,,,20.28895,,,,,
3.14185,,,,,,20.13081,,,
3.14811,,,,,,,,19.72587,
3.14996,,,20.34379,,,,,,
3.15312,,,,,20.21948,,,,
3.15876,,,,20.26792,,,,,
3.16177,19.75421,,,,,,,,
3.1698,,19.76701,,,,,,,
3.17378,,,,,,,,19.68931,
3.17481,,,,20.2469,,,,,
3.18206,,,20.30905,,,,,,
3.19304,,,,,,,,19.66371,
3.19327,,,,20.22678,,,,,
3.19646,,,,,20.17742,,,,
3.19798,,,,,,,19.97267,,
3.20106,,,,,,,,19.63812,
3.2051,19.71307,,,,,,,,
3.20672,,19.73044,,,,,,,
3.21095,,,20.28985,,,,,,
3.21413,,,,20.21307,,,,,
3.2171,,,,,,,,19.60338,
3.2326,,,,20.20484,,,,,
3.23314,,,,,,,,19.55402,
3.23904,,,20.26517,,,,,,
3.24276,,,,,,,,19.53391,
3.24296,,,,,,20.03208,,,
3.24604,,19.69204,,,,,,,
3.24621,,,,,20.12806,,,,
3.24704,,,,20.19021,,,,,
3.26041,,,,,,,,19.501,
3.26151,,,20.24049,,,,,,
3.26309,,,,20.17559,,,,,
3.26529,19.65456,,,,,,,,
3.26533,,,,,,,,,19.7478
3.2702,,,,,,,19.88308,,
3.27486,,,,,,,,19.48637,
3.27814,,19.6573,,,,,,,
3.28235,,,,20.15182,,,,,
3.28771,,,,,,,,19.49917,
3.29198,,,,20.13628,,,,,
3.29436,,,,,20.08052,,,,
3.30004,,,20.22403,,,,,,
3.31184,,19.62165,,,,,,,
3.3182,,,,,,,,19.47174,
3.32007,,,,20.13262,,,,,
3.32973,,,20.18838,,,,,,
3.33291,,,,20.12439,,,,,
3.33907,,,,,,,,19.44614,
3.33926,,,,,,19.92969,,,
3.34411,,,,,20.02567,,,,
3.34634,,19.58051,,,,,,,
3.34709,,,,,,,,19.42786,
3.34723,,,,,,,19.79349,,
3.34816,,,,20.10062,,,,,
3.35035,19.56132,,,,,,,,
3.3514,,,20.17283,,,,,,
3.3551,,,,,,,,19.3913,
3.36634,,,,,,,,19.38216,
3.37063,,,,20.07868,,,,,
3.37387,,,20.15455,,,,,,
3.37924,,19.5412,,,,,,,
3.38828,,,,20.05583,,,,,
3.39042,,,,,,,,19.38215,
3.39554,,,20.13535,,,,,,
3.40273,,,,20.05126,,,,,
3.40648,,,,,,,,19.38581,
3.41313,,,,,19.95802,,,,
3.41937,,19.49641,,,,,,,
3.42443,,,20.1061,,,,,,
3.43214,,,,,,,,19.32913,
3.43243,,,,20.02932,,,,,
3.44369,,,20.09056,,,,,,
3.44518,,,,,,19.81359,,,
3.44658,,,,,,,,19.29622,
3.44927,,,,19.99732,,,,,
3.45468,,19.4635,,,,,,,
3.45941,,,,,,,,19.26332,
3.46582,,,,,,,,19.23589,
3.46696,,,20.07502,,,,,,
3.46753,,,,,,,,,19.49001
3.46853,,,,19.96715,,,,,
3.47412,,,,,19.89037,,,,
3.47545,,,,,,,,19.21213,
3.47634,19.42511,,,,,,,,
3.48056,,,,19.94887,,,,,
3.48203,,,,,,,19.61066,,
3.48668,,,,,,,,19.18836,
3.49344,,,20.04485,,,,,,
3.4979,,,,,,,,19.15362,
3.50753,,,,,,,,19.13351,
3.51107,,,,19.94338,,,,,
3.51591,,,20.01468,,,,,,
3.52792,,,,19.93698,,,,,
3.53024,,,,,,19.70572,,,
3.53671,,,,,19.82272,,,,
3.53964,,,,,,,,19.13716,
