############################
### DOCUMENT
#  [1] P. J. Wilbur, “Advanced Ion Thruster Research,”  NASA CR-168340, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Effect of propellant and insert surface work function on plasma density profile
### DATA
# x(mm), ne (m^-3 x10^-19), phi_wf (eV), Id (A), P (Torr), do (mm), dc (mm)
### NOTES
# The plot is for a work function of 1.9 eV  and 2.5 eV for xenon 
# p.84
############################
x,ne,phi_wf,Id,P,do,dc
7.2163,3.9695,2.5,2.3,4.0,0.76,4.0
7.3096,3.7187,2.5,2.3,4.0,0.76,4.0
7.4028,3.4715,2.5,2.3,4.0,0.76,4.0
7.496,3.2299,2.5,2.3,4.0,0.76,4.0
7.5892,2.993,2.5,2.3,4.0,0.76,4.0
7.6824,2.7599,2.5,2.3,4.0,0.76,4.0
7.7756,2.5354,2.5,2.3,4.0,0.76,4.0
7.8689,2.3631,2.5,2.3,4.0,0.76,4.0
7.9621,2.2268,2.5,2.3,4.0,0.76,4.0
8.0553,2.0832,2.5,2.3,4.0,0.76,4.0
8.1485,1.944,2.5,2.3,4.0,0.76,4.0
8.2417,1.8352,2.5,2.3,4.0,0.76,4.0
8.3349,1.7353,2.5,2.3,4.0,0.76,4.0
8.4282,1.6196,2.5,2.3,4.0,0.76,4.0
8.5214,1.5104,2.5,2.3,4.0,0.76,4.0
8.6146,1.4284,2.5,2.3,4.0,0.76,4.0
8.7078,1.3699,2.5,2.3,4.0,0.76,4.0
8.801,1.3179,2.5,2.3,4.0,0.76,4.0
8.8943,1.2461,2.5,2.3,4.0,0.76,4.0
8.9875,1.1606,2.5,2.3,4.0,0.76,4.0
9.0807,1.0979,2.5,2.3,4.0,0.76,4.0
9.1739,1.0467,2.5,2.3,4.0,0.76,4.0
9.2671,0.9847,2.5,2.3,4.0,0.76,4.0
9.3603,0.9252,2.5,2.3,4.0,0.76,4.0
9.4536,0.8887,2.5,2.3,4.0,0.76,4.0
9.5468,0.8525,2.5,2.3,4.0,0.76,4.0
9.64,0.794,2.5,2.3,4.0,0.76,4.0
9.7332,0.7318,2.5,2.3,4.0,0.76,4.0
9.8264,0.6893,2.5,2.3,4.0,0.76,4.0
9.9196,0.6559,2.5,2.3,4.0,0.76,4.0
